,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
5178,20001214X43170,ANC83FA103,1983-06-24,"FORT YUKON, AK",United States,Non-Fatal,Substantial,Douglas,DC-3,2.0,Reciprocating,Unknown,0.0,0.0,0.0,18.0,VMC,Probable Cause,1983,Douglas,18.0,0.0,100.0
5180,20001214X43439,MIA83IA165,1983-06-25,"TAMPA, FL",United States,Incident,Minor,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,77.0,VMC,Probable Cause,1983,Mcdonnell Douglas,77.0,0.0,100.0
5280,20001214X43796,LAX83IA316,1983-07-02,"LOS ANGELES, CA",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,1.0,133.0,VMC,Probable Cause,1983,Boeing,134.0,0.0,99.25373134328358
5338,20001214X43649,CHI83IA299,1983-07-05,"CHICAGO, IL",United States,Incident,,Douglas,DC-8,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,122.0,VMC,Probable Cause,1983,Douglas,122.0,0.0,100.0
5476,20001214X43869,MKC83IA159,1983-07-16,"ST. LOUIS, MO",United States,Incident,Minor,Boeing,727-231A,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,VMC,Probable Cause,1983,Boeing,65.0,0.0,100.0
5529,20001214X43650,CHI83IA327,1983-07-20,"CHICAGO, IL",United States,Incident,,Douglas,DC-8-71,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,102.0,VMC,Probable Cause,1983,Douglas,102.0,0.0,100.0
5576,20001214X43778,LAX83FA349B,1983-07-23,"KAHALUI, HI",United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,0.0,0.0,1.0,19.0,VMC,Probable Cause,1983,Beech,20.0,0.0,95.0
5577,20001214X43778,LAX83FA349A,1983-07-23,"KAHALUI, HI",United States,Non-Fatal,Substantial,Beech,C-45G,2.0,Reciprocating,Unknown,0.0,0.0,1.0,19.0,VMC,Probable Cause,1983,Beech,20.0,0.0,95.0
5693,20001214X44283,MKC83LA185,1983-08-01,"KANSAS CITY, MO",United States,Non-Fatal,Substantial,De Havilland,DHG-6-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,1983,,16.0,0.0,100.0
5912,20001214X44099,DCA83AA034,1983-08-17,"PEACH SPRINGS, AZ",United States,Fatal(10),Destroyed,Piper,PA-31-350,2.0,Reciprocating,Unknown,10.0,0.0,0.0,0.0,IMC,Probable Cause,1983,,10.0,100.0,0.0
5926,20001214X44102,DCA83IA035,1983-08-19,"DENVER, CO",United States,Incident,,Boeing,767,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,205.0,VMC,Probable Cause,1983,Boeing,205.0,0.0,100.0
5957,20001214X44248,MIA83IA210,1983-08-21,"NORFOLK, VA",United States,Incident,Minor,Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,289.0,VMC,Probable Cause,1983,Douglas,289.0,0.0,100.0
5960,20001214X44100,DCA83AA036,1983-08-21,"SILVANA, WA",United States,Fatal(11),Destroyed,Lockheed,"LEARSTAR, L-18-56",2.0,Reciprocating,Skydiving,11.0,2.0,0.0,13.0,VMC,Probable Cause,1983,Lockheed,26.0,50.0,50.0
6099,20001214X44624,MIA83IA218,1983-09-01,"MIAMI, FL",United States,Incident,Minor,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,201.0,VMC,Probable Cause,1983,Mcdonnell Douglas,201.0,0.0,100.0
6178,20001214X44459,CHI83IA418,1983-09-07,"CHICAGO, IL",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,116.0,VMC,Probable Cause,1983,Boeing,116.0,0.0,100.0
6186,20001214X44587,LAX83LA427,1983-09-08,"KAILUA-KONA, HI",United States,Non-Fatal,Destroyed,Beech,H18S,2.0,Reciprocating,Unknown,0.0,1.0,9.0,0.0,VMC,Probable Cause,1983,Beech,10.0,10.0,0.0
6254,20001214X44460,CHI83IA425,1983-09-13,"CHICAGO, IL",United States,Incident,Minor,Fairchild,FH-227,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,25.0,VMC,Probable Cause,1983,,25.0,0.0,100.0
6269,20001214X44660,NYC83FA241,1983-09-14,"ATLANTIC CITY, NJ",United States,Non-Fatal,Substantial,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,10.0,IMC,Probable Cause,1983,,10.0,0.0,100.0
6336,20001214X44675,NYC83IA252,1983-09-20,"BOSTON, MA",United States,Incident,Minor,De Havilland,DHC-6,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,1983,,12.0,0.0,100.0
6363,20001214X44527,FTW83IA438,1983-09-23,"DALLAS/FT WORTH, TX",United States,Incident,,Boeing,727-223B,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,110.0,VMC,Probable Cause,1983,Boeing,112.0,0.0,98.21428571428571
6403,20001214X44612,LAX84IA461,1983-09-27,"SANTA ANA, CA",United States,Incident,,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,79.0,VMC,Probable Cause,1983,Mcdonnell Douglas,79.0,0.0,100.0
6477,20001214X44830,FTW84IA007,1983-10-05,"DFW AIRPORT, TX",United States,Incident,Minor,Boeing,B727-023,3.0,Turbo Jet,Unknown,0.0,0.0,6.0,66.0,VMC,Probable Cause,1983,Boeing,72.0,0.0,91.66666666666666
6484,20001214X44942,NYC84IA002,1983-10-06,"BURLINGTON, VT",United States,Incident,Minor,Beech,C99,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1983,Beech,10.0,0.0,100.0
6494,20001214X44712,ANC84IA002,1983-10-07,"JUNEAU, AK",United States,Incident,Minor,Boeing,727-247,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,87.0,IMC,Probable Cause,1983,Boeing,87.0,0.0,100.0
6542,20001214X44795,DCA84AA002,1983-10-11,"PINCKNEYVILLE, IL",United States,Fatal(10),Destroyed,Hawker Siddeley,HS-748-2A,2.0,Turbo Prop,Unknown,10.0,0.0,0.0,0.0,IMC,Probable Cause,1983,Hawker,10.0,100.0,0.0
6592,20001214X44733,ATL84IA024,1983-10-17,"WASHINGTON, DC",United States,Incident,Minor,British Aircraft Corp. (Bac),1-11/204/AF,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,49.0,VMC,Probable Cause,1983,,49.0,0.0,100.0
6602,20001214X44906,MIA84IA012,1983-10-19,"MIAMI, FL",United States,Incident,Minor,Boeing,727-21,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,73.0,VMC,Probable Cause,1983,Boeing,73.0,0.0,100.0
6669,20001214X44944,NYC84LA015,1983-10-28,"MIDDLETOWN, PA",United States,Fatal(1),,Short Brothers,SD3-30,2.0,Turbo Prop,Unknown,1.0,0.0,0.0,29.0,VMC,Probable Cause,1983,,30.0,3.3333333333333335,96.66666666666667
6676,20001214X44727,ATL84FA031,1983-10-28,"BLOUNTVILLE, TN",United States,Non-Fatal,Substantial,Embraer,EMB110-P1,2.0,Turbo Prop,Unknown,0.0,0.0,16.0,0.0,VMC,Probable Cause,1983,Embraer,16.0,0.0,0.0
6706,20001214X45107,LAX84IA040,1983-11-02,"SAN FRANCISCO, CA",United States,Incident,Minor,Boeing,767,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,104.0,VMC,Probable Cause,1983,Boeing,104.0,0.0,100.0
6737,20001214X45143,MIA84IA025,1983-11-06,"MIAMI, FL",United States,Incident,Minor,Airbus Industrie,A-300B4-2C,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,250.0,VMC,Probable Cause,1983,Airbus,250.0,0.0,100.0
6739,20001214X45028,DEN84FA021,1983-11-06,"SIOUX FALLS, SD",United States,Non-Fatal,Minor,Convair,580,2.0,Turbo Prop,Unknown,0.0,1.0,1.0,33.0,VMC,Probable Cause,1983,Convair,35.0,2.857142857142857,94.28571428571428
6756,20001214X45156,MKC84IA017,1983-11-08,"ST. LOUIS, MO",United States,Incident,Minor,Mcdonnell Douglas,DC9-80,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,138.0,VMC,Probable Cause,1983,Mcdonnell Douglas,138.0,0.0,100.0
6760,20001214X45013,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,100.0,VMC,Probable Cause,1983,Boeing,100.0,0.0,100.0
6768,20001214X45035,DEN84IA023,1983-11-09,"DENVER, CO",United States,Incident,,Mcdonnell Douglas,DC-9-32,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,53.0,VMC,Probable Cause,1983,Mcdonnell Douglas,53.0,0.0,100.0
6789,20001214X45026,DCA84AA006,1983-11-11,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,727-225A,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,158.0,VMC,Probable Cause,1983,Boeing,159.0,0.628930817610063,99.37106918238993
6886,20001214X45027,DCA84AA008,1983-11-24,"CHARLESTON, SC",United States,Non-Fatal,Minor,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,5.0,20.0,136.0,UNK,Probable Cause,1983,Lockheed,161.0,3.1055900621118013,84.472049689441
6906,20001214X45014,CHI84IA052B,1983-11-26,"COLUMBUS, OH",United States,Incident,Minor,Boeing,727-232,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,127.0,VMC,Probable Cause,1983,Boeing,127.0,0.0,100.0
6907,20001214X45014,CHI84IA052A,1983-11-26,"COLUMBUS, OH",United States,Incident,Minor,Cessna,421B,2.0,Reciprocating,Business,0.0,0.0,0.0,127.0,VMC,Probable Cause,1983,Cessna,127.0,0.0,100.0
6990,20001214X45400,NYC84IA048,1983-12-07,"NEWARK, NJ",United States,Incident,Minor,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,160.0,VMC,Probable Cause,1983,Mcdonnell Douglas,160.0,0.0,100.0
6999,20001214X45266,DEN84IA041,1983-12-09,"DENVER, CO",United States,Incident,,Boeing,767,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,13.0,VMC,Probable Cause,1983,Boeing,13.0,0.0,100.0
7033,20001214X45363,MIA84IA045,1983-12-14,"WEST PALM BEACH, FL",United States,Incident,Minor,Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,0.0,6.0,112.0,VMC,Probable Cause,1983,Douglas,118.0,0.0,94.91525423728814
7035,20001214X45243,CHI84IA060,1983-12-14,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC-8-61,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,260.0,IMC,Probable Cause,1983,Mcdonnell Douglas,260.0,0.0,100.0
7055,20001214X45372,MKC84IA040,1983-12-18,"WICHITA, KS",United States,Incident,,Douglas,DC-9-15,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,47.0,VMC,Probable Cause,1983,Douglas,47.0,0.0,100.0
7064,20001214X45262,DEN84FA045,1983-12-19,"ROCK SPRINGS, WY",United States,Non-Fatal,Substantial,Convair,440,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,33.0,IMC,Probable Cause,1983,Convair,33.0,0.0,100.0
7070,20001214X45258,DCA84AA012,1983-12-20,"SIOUX FALLS, SD",United States,Fatal(1),Substantial,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,1.0,0.0,2.0,84.0,IMC,Probable Cause,1983,Douglas,87.0,1.1494252873563218,96.55172413793103
7082,20001214X45342,LAX84LA115,1983-12-22,"HONOLULU, HI",United States,Non-Fatal,,De Havilland,DHC 7-102,4.0,Turbo Prop,Unknown,0.0,1.0,1.0,25.0,VMC,Probable Cause,1983,,27.0,3.7037037037037033,92.5925925925926
7088,20001214X45259,DCA84AA013B,1983-12-23,"ANCHORAGE, AK",United States,Non-Fatal,Destroyed,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,3.0,3.0,6.0,IMC,Probable Cause,1983,,12.0,25.0,50.0
7089,20001214X45259,DCA84AA013A,1983-12-23,"ANCHORAGE, AK",United States,Non-Fatal,Destroyed,Mcdonnell Douglas,DC-10-30CF,3.0,Turbo Fan,Unknown,0.0,3.0,3.0,6.0,IMC,Probable Cause,1983,Mcdonnell Douglas,12.0,25.0,50.0
7123,20001214X45309,LAX84AA132,1983-12-28,"NEW YORK, NY",United States,Non-Fatal,Substantial,Boeing,727-224,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,IMC,Probable Cause,1983,Boeing,127.0,0.0,100.0
7126,20001214X45366,MIA84LA052,1983-12-29,"NEAR TAMPA, FL",United States,Non-Fatal,,Boeing,737-201,2.0,Turbo Fan,Unknown,0.0,1.0,7.0,38.0,VMC,Probable Cause,1983,Boeing,46.0,2.1739130434782608,82.6086956521739
7127,20001214X45324,LAX84IA119,1983-12-29,"OAKLAND, CA",United States,Incident,Minor,Boeing,707-123B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,165.0,VMC,Probable Cause,1983,Boeing,165.0,0.0,100.0
7164,20001214X38598,LAX84LA128,1984-01-01,"COOLIDGE, AZ",United States,Non-Fatal,Substantial,Beech,C-45H,2.0,Reciprocating,Business,0.0,0.0,0.0,11.0,VMC,Probable Cause,1984,Beech,11.0,0.0,100.0
7174,20001214X38519,CHI84FA076,1984-01-02,"GALESBURG, IL",United States,Non-Fatal,Substantial,Beech,BE-99,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,IMC,Probable Cause,1984,Beech,11.0,0.0,100.0
7194,20001214X38673,SEA84IA037,1984-01-07,"SEATTLE, WA",United States,Incident,Minor,Boeing,727-223,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,81.0,IMC,Probable Cause,1984,Boeing,81.0,0.0,100.0
7219,20001214X38596,LAX84IA153,1984-01-10,"LOS ANGELES, CA",United States,Incident,,Mcdonnell Douglas,DC-9-30,2.0,Turbo Jet,Unknown,0.0,0.0,4.0,29.0,VMC,Probable Cause,1984,Mcdonnell Douglas,33.0,0.0,87.87878787878788
7239,20001214X38546,DCA84AA014,1984-01-13,"JAMAICA, NY",United States,Non-Fatal,Substantial,Fokker,F27-100,2.0,Turbo Prop,Unknown,0.0,1.0,14.0,9.0,VMC,Probable Cause,1984,,24.0,4.166666666666666,37.5
7270,20001214X38627,MIA84IA063,1984-01-20,"TAMPA, FL",United States,Incident,Minor,Boeing,727-225A,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,152.0,VMC,Probable Cause,1984,Boeing,152.0,0.0,100.0
7278,20001214X38628,MIA84IA064,1984-01-21,"TAMPA, FL",United States,Incident,Minor,Douglas,DC-9-51,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,33.0,VMC,Probable Cause,1984,Douglas,33.0,0.0,100.0
7288,20001214X38520,CHI84IA093,1984-01-23,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC-8-61,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,47.0,IMC,Probable Cause,1984,Mcdonnell Douglas,47.0,0.0,100.0
7307,20001214X38512,ATL84IA087,1984-01-26,"RICHMOND, VA",United States,Incident,,British Aerospace,1-11,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,41.0,VMC,Probable Cause,1984,,41.0,0.0,100.0
7402,20001214X38850,MIA84IA077,1984-02-10,"WEST PALM BEACH, FL",United States,Incident,,Grumman,G-73,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,14.0,VMC,Probable Cause,1984,,14.0,0.0,100.0
7445,20001214X38770,FTW84IA135,1984-02-15,"TULSA, OK",United States,Incident,,Nihon,YS-11,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,1984,,20.0,0.0,100.0
7458,20001214X38704,ATL84IA104,1984-02-16,"FOREST PARK, GA",United States,Incident,Minor,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,72.0,VMC,Probable Cause,1984,Mcdonnell Douglas,72.0,0.0,100.0
7465,20001214X38807,LAX84IA195,1984-02-17,"SANTA ANA, CA",United States,Incident,,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,98.0,VMC,Probable Cause,1984,Mcdonnell Douglas,98.0,0.0,100.0
7583,20001214X38741,DCA84AA018,1984-02-28,"JAMAICA, NY",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,1.0,11.0,165.0,IMC,Probable Cause,1984,Mcdonnell Douglas,177.0,0.5649717514124294,93.22033898305084
7612,20001214X39020,FTW84FA153,1984-03-04,"LAMPASAS, TX",United States,Non-Fatal,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,1.0,3.0,44.0,VMC,Probable Cause,1984,Boeing,48.0,2.083333333333333,91.66666666666666
7648,20001214X38976,CHI84IA127,1984-03-08,"ERLANGER, KY",United States,Incident,,Boeing,737-200,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,22.0,IMC,Probable Cause,1984,Boeing,22.0,0.0,100.0
7667,20001214X39026,FTW84IA160,1984-03-10,"DFW AIRPORT, TX",United States,Incident,Minor,Boeing,727-23,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,41.0,VMC,Probable Cause,1984,Boeing,41.0,0.0,100.0
7758,20001214X39124,MKC84IA108,1984-03-20,"KANSAS CITY, MO",United States,Incident,Minor,Boeing,727-224,3.0,Turbo Jet,Unknown,0.0,0.0,1.0,77.0,VMC,Probable Cause,1984,Boeing,78.0,0.0,98.71794871794873
7765,20001214X38977,CHI84IA141,1984-03-21,"MOLINE, IL",United States,Incident,,Short Brothers,SD3-30,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,19.0,VMC,Probable Cause,1984,,19.0,0.0,100.0
7771,20001214X39009,DEN84IA116,1984-03-22,"DENVER, CO",United States,Incident,,Boeing,727-224,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,133.0,VMC,Probable Cause,1984,Boeing,133.0,0.0,100.0
7977,20001214X39216,CHI84IA155,1984-04-16,"MILWAUKEE, WI",United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1984,,10.0,0.0,100.0
7982,20001214X39338,MIA84IA147,1984-04-17,"FT. LAUDERDALE, FL",United States,Incident,Minor,Grumman,G-73T,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,19.0,VMC,Probable Cause,1984,,19.0,0.0,100.0
8025,20001214X39331,MIA84FA146,1984-04-23,"MIAMI, FL",United States,Non-Fatal,Minor,Douglas,DC-8-63,4.0,Turbo Jet,Unknown,0.0,1.0,3.0,188.0,VMC,Probable Cause,1984,Douglas,192.0,0.5208333333333333,97.91666666666666
8059,20001214X39214,CHI84FA165,1984-04-26,"NORTH CANTON, OH",United States,Non-Fatal,Substantial,Short Brothers,SD3-30,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,22.0,VMC,Probable Cause,1984,,22.0,0.0,100.0
8129,20001214X39467,ATL84IA160,1984-05-04,"MOUNT VERNON, IL",United States,Incident,,Douglas,DC-9-32,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,1984,Douglas,84.0,0.0,100.0
8228,20001214X39646,LAX84LA307,1984-05-12,"TAU, MANU'A, HI",United States,Non-Fatal,Substantial,De Havilland,DHC 6-300,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,1984,,20.0,0.0,100.0
8249,20001214X39497,CHI84IA197,1984-05-15,"BATTLE CREEK, MI",United States,Incident,,De Havilland,DHC-7-102,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,25.0,VMC,Probable Cause,1984,,25.0,0.0,100.0
8264,20001214X39496,CHI84IA196,1984-05-17,"MINNEAPOLIS, MN",United States,Incident,Minor,Mcdonnell Douglas,DC-10-40,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,239.0,VMC,Probable Cause,1984,Mcdonnell Douglas,239.0,0.0,100.0
8265,20001214X39459,ATL84FA173,1984-05-17,"COVINGTON, KY",United States,Non-Fatal,,Boeing,727,3.0,Turbo Fan,Unknown,0.0,1.0,12.0,125.0,VMC,Probable Cause,1984,Boeing,138.0,0.7246376811594203,90.57971014492753
8348,20001214X39552,DEN84IA157,1984-05-24,"ALBUQUERQUE, NM",United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,19.0,VMC,Probable Cause,1984,,19.0,0.0,100.0
8372,20001214X39553,DEN84IA163,1984-05-26,"SALT LAKE CITY, UT",United States,Incident,,Boeing,727-200,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,27.0,VMC,Probable Cause,1984,Boeing,27.0,0.0,100.0
8447,20001214X39536,DCA84AA025,1984-05-31,"DENVER, CO",United States,Non-Fatal,Substantial,Boeing,727-222,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,105.0,VMC,Probable Cause,1984,Boeing,105.0,0.0,100.0
8459,20001214X40096,NYC84IA192,1984-06-02,"FLUSHING, NY",United States,Incident,Minor,Boeing,727-31,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,66.0,VMC,Probable Cause,1984,Boeing,66.0,0.0,100.0
8476,20001214X40027,MIA84IA174,1984-06-03,"FT.LAUDERDALE, FL",United States,Incident,Minor,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,111.0,VMC,Probable Cause,1984,Lockheed,111.0,0.0,100.0
8502,20001214X40097,NYC84IA200,1984-06-05,"PHILADELPHIA, PA",United States,Incident,,Boeing,720-025,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,95.0,VMC,Probable Cause,1984,Boeing,95.0,0.0,100.0
8542,20001214X39837,CHI84IA224,1984-06-09,"CHICAGO, IL",United States,Incident,Minor,Beech,99,2.0,Turbo Prop,Unknown,0.0,0.0,1.0,10.0,VMC,Probable Cause,1984,Beech,11.0,0.0,90.9090909090909
8564,20001214X39982,LAX84IA351,1984-06-10,"LOS ANGELES, CA",United States,Incident,,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,212.0,VMC,Probable Cause,1984,Mcdonnell Douglas,212.0,0.0,100.0
8591,20001214X39980,LAX84LA349,1984-06-11,"LOS ANGELES, CA",United States,Non-Fatal,Substantial,Lockheed,L-1011-385-3,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,157.0,VMC,Probable Cause,1984,Lockheed,157.0,0.0,100.0
8608,20001214X39893,DCA84AA028,1984-06-13,"DETROIT, MI",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,10.0,46.0,IMC,Probable Cause,1984,Mcdonnell Douglas,56.0,0.0,82.14285714285714
8770,20001214X39938,FTW84FA287,1984-06-25,"GALVESTON, TX",United States,Non-Fatal,Substantial,Bell,212,2.0,Turbo Shaft,Unknown,0.0,0.0,1.0,9.0,VMC,Probable Cause,1984,,10.0,0.0,90.0
8782,20001214X40098,NYC84IA225,1984-06-27,"PORTLAND, ME",United States,Incident,Minor,Boeing,737-130,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,121.0,VMC,Probable Cause,1984,Boeing,123.0,0.0,98.3739837398374
8784,20001214X40050,MKC84IA185,1984-06-27,"JOPLIN, MO",United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,15.0,VMC,Probable Cause,1984,,15.0,0.0,100.0
8866,20001214X40269,DEN84IA209,1984-07-03,"DENVER, CO",United States,Incident,Minor,Boeing,727-23,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,75.0,VMC,Probable Cause,1984,Boeing,75.0,0.0,100.0
8948,20001214X40507,SEA84IA168,1984-07-09,"PORTLAND, OR",United States,Incident,,Boeing,B-737-222,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,71.0,VMC,Probable Cause,1984,Boeing,71.0,0.0,100.0
9031,20001214X40261,DCA84IA030B,1984-07-16,"MARIETTA, GA",United States,Incident,,Boeing,KC-135A,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,45.0,VMC,Probable Cause,1984,Boeing,45.0,0.0,100.0
9032,20001214X40261,DCA84IA030A,1984-07-16,"MARIETTA, GA",United States,Incident,,Boeing,727-225,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,45.0,VMC,Probable Cause,1984,Boeing,45.0,0.0,100.0
9033,20001214X40226,CHI84IA301,1984-07-16,"CHICAGO, IL",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,91.0,VMC,Probable Cause,1984,Boeing,91.0,0.0,100.0
9132,20001214X40405,MIA84LA229,1984-07-24,"KEY WEST, FL",United States,Non-Fatal,,Mcdonnell Douglas,DC-8-51,4.0,Turbo Fan,Unknown,0.0,1.0,8.0,145.0,VMC,Probable Cause,1984,Mcdonnell Douglas,154.0,0.6493506493506493,94.15584415584416
9147,20001214X40227,CHI84IA314,1984-07-25,"MINNEAPOLIS, MN",United States,Incident,,Boeing,727-2M7,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,VMC,Probable Cause,1984,Boeing,127.0,0.0,100.0
9148,20001214X40201,ATL84LA235,1984-07-25,"AUGUSTA, GA",United States,Non-Fatal,,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,99.0,VMC,Probable Cause,1984,Douglas,100.0,1.0,99.0
9158,20001214X40470,NYC84IA271,1984-07-26,"BUFFALO, NY",United States,Incident,Minor,Boeing,727-232,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,105.0,VMC,Probable Cause,1984,Boeing,105.0,0.0,100.0
9298,20001214X40574,ATL84IA246,1984-08-06,"NASHVILLE, TN",United States,Incident,Minor,Mcdonnell Douglas,DC-9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,85.0,VMC,Probable Cause,1984,Mcdonnell Douglas,85.0,0.0,100.0
9377,20001214X40575,ATL84IA255,1984-08-13,"MEMPHIS, TN",United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,1.0,13.0,VMC,Probable Cause,1984,,14.0,0.0,92.85714285714286
9517,20001214X40665,DCA84AA034A,1984-08-24,"SAN LUIS OBISPO, CA",United States,Fatal(17),Destroyed,Beech,C-99,2.0,Turbo Prop,Unknown,17.0,0.0,0.0,0.0,VMC,Probable Cause,1984,Beech,17.0,100.0,0.0
9528,20001214X40794,MIA84IA242,1984-08-25,"ORLANDO, FL",United States,Incident,Minor,Mcdonnell Douglas,DC-9-51,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,96.0,VMC,Probable Cause,1984,Mcdonnell Douglas,96.0,0.0,100.0
9581,20001214X40615,CHI84IA373,1984-08-29,"MADISON, WI",United States,Incident,,Boeing,737-291,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,108.0,VMC,Probable Cause,1984,Boeing,108.0,0.0,100.0
9651,20001214X40987,BFO84IA005B,1984-09-03,"WASHINGTON, DC",United States,Incident,Minor,Mcdonnell Douglas,MD-80,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,81.0,VMC,Probable Cause,1984,Mcdonnell Douglas,81.0,0.0,100.0
