,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
1476,20020917X02747,ATL82DA157,1982-06-06,"MONROEVILLE, AL",United States,Non-Fatal,Substantial,Cessna,150F,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
1507,20020917X02643,ANC82DA047,1982-06-09,"GRAYLING, AK",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
1521,20020917X03453,FTW82FPD14,1982-06-11,"ABILENE, TX",United States,Non-Fatal,Substantial,Learjet,23,2.0,Turbo Jet,Personal,0.0,0.0,0.0,8.0,VMC,Probable Cause,Learjet,1982
1546,20020917X03301,FTW82DA222,1982-06-13,"RYAN, OK",United States,Non-Fatal,Destroyed,Beech,C-35,2.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Probable Cause,Beech,1982
1573,20020917X03068,CHI82FA209,1982-06-15,"RACINE, WI",United States,Non-Fatal,Substantial,Cessna,421,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Probable Cause,Cessna,1982
1592,20020917X03822,MKC82DA106,1982-06-17,"KINGMAN, KS",United States,Non-Fatal,Substantial,Cessna,T303,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
1610,20020917X02757,ATL82DA172,1982-06-18,"NORTH MYRTLE BE, SC",United States,Non-Fatal,Substantial,Cessna,402C,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,IMC,Probable Cause,Cessna,1982
1613,20020917X03744,MIA82DA134,1982-06-19,"NEAR STUART, FL",United States,Non-Fatal,Destroyed,Cessna,337,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
1622,20020917X03746,MIA82DA137,1982-06-19,"CLEARWATER, FL",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
1652,20020917X03748,MIA82DA139,1982-06-21,"NEAR HORSESHOE, FL",United States,Non-Fatal,Destroyed,Cessna,310,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
1655,20020917X03699,LAX82FUG13,1982-06-21,"ONTARIO, CA",United States,Non-Fatal,Destroyed,Beech,95-C55,2.0,Reciprocating,Business,0.0,2.0,0.0,0.0,VMC,Probable Cause,Beech,1982
1662,20020917X03313,FTW82DA235,1982-06-21,"FORT WORTH, TX",United States,Non-Fatal,Substantial,Cessna,310P,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
1663,20020917X03072,CHI82FA223,1982-06-21,"GREENVILLE, IL",United States,Non-Fatal,Substantial,Cessna,337B,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
1699,20020917X02876,ATL82FKQ16,1982-06-25,"MADISON, MS",United States,Non-Fatal,Destroyed,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
1711,20020917X03514,LAX82AA235A,1982-06-26,"SAN JOSE, CA",United States,Fatal(3),Destroyed,Cessna,320B,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
1720,20020917X03327,FTW82DA250,1982-06-26,"BELEN, NM",United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
1753,20020917X02965,CHI82DA227,1982-06-29,"BLUFFTON, OH",United States,Non-Fatal,Substantial,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
1763,20020917X03330,FTW82DA253,1982-06-30,"LUBBOCK, TX",United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1982
1764,20020917X03146,DEN82DA122,1982-06-30,"LAS ANIMAS, CO",United States,Non-Fatal,Substantial,Cessna,340,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1982
1772,20020917X03336,FTW82DA259,1982-07-01,"EL DORADO, OK",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
1790,20020917X03338,FTW82DA261,1982-07-02,"DALLAS, TX",United States,Non-Fatal,Substantial,Cessna,T310P,2.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Probable Cause,Cessna,1982
1802,20020917X03830,MKC82DA115,1982-07-03,"FULLERTON, NE",United States,Non-Fatal,Substantial,Beech,58P,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
1833,20020917X04180,SEA82IA101,1982-07-05,"BOISE, ID",United States,Incident,Minor,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,Douglas,1982
1834,20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",United States,Incident,Minor,Boeing,727-233,3.0,Turbo Fan,,,,,74.0,VMC,Probable Cause,Boeing,1982
1838,20020917X03671,LAX82FA244,1982-07-05,"SANTA MONICA, CA",United States,Non-Fatal,Destroyed,Beech,60,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1982
1839,20020917X03108,DEN82AA127,1982-07-05,"DENVER, CO",United States,Fatal(2),Destroyed,Cessna,310I,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
1867,20020917X03674,LAX82FA250,1982-07-08,"BURBANK, CA",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
1871,20020917X03104,DCA82AA028,1982-07-09,"NEW ORLEANS, LA",United States,Fatal(153),Destroyed,Boeing,727-235,3.0,Turbo Fan,Unknown,153.0,9.0,0.0,7.0,VMC,Probable Cause,Boeing,1982
1892,20020917X03351,FTW82DA275A,1982-07-09,"AUSTIN, TX",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Unknown,0.0,2.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
1898,20020917X04117,SEA82DA113,1982-07-10,"SUNRIVER, OR",United States,Non-Fatal,Substantial,Cessna,340,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Cessna,1982
1935,20020917X03837,MKC82DA122,1982-07-13,"LAURENS, IA",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1982
1969,20020917X03515,LAX82AA259,1982-07-16,"MORTON, WY",United States,Non-Fatal,Minor,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,7.0,19.0,142.0,VMC,Probable Cause,Mcdonnell Douglas,1982
1984,20020917X04120,SEA82DA116,1982-07-17,"SHERIDAN, OR",United States,Non-Fatal,Destroyed,Beech,C45G,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2009,20020917X03360,FTW82DA284,1982-07-18,"JONESTOWN, TX",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
2014,20020917X03681,LAX82FA267,1982-07-19,"NEAR INYOKERN, CA",United States,Non-Fatal,Destroyed,Cessna,T337H,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
2021,20020917X03895,MKC82IA128,1982-07-20,"FENTON, MO",United States,Incident,Minor,Beech,E18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2091,20020917X02846,ATL82FA208,1982-07-24,"SYLVA, NC",United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1982
2113,20020917X03164,DEN82DA142,1982-07-25,"AURORA, CO",United States,Non-Fatal,Substantial,Beechcraft,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2132,20020917X04067,NYC82IA170,1982-07-28,"FLUSHING, NY",United States,Incident,Minor,Boeing,727-231,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,129.0,IMC,Probable Cause,Boeing,1982
2137,20020917X03594,LAX82DA281,1982-07-28,"HENDERSON, NV",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Beech,1982
2138,20020917X03376,FTW82DA301,1982-07-28,"ABILENE, TX",United States,Non-Fatal,Substantial,Beech,B99A,2.0,Turbo Prop,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
2173,20020917X03011,CHI82DA285,1982-07-30,"MARION, IL",United States,Non-Fatal,Substantial,Cessna,310P,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
2176,20020917X03377,FTW82DA302,1982-07-30,"EL PASO, TX",United States,Non-Fatal,Substantial,Douglas,DC-3C,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,Probable Cause,Douglas,1982
2207,20020917X03379,FTW82DA304,1982-08-01,"COTULLA, TX",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2227,20020917X03983,NYC82DA182,1982-08-03,"SCHROON LAKE, NY",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2237,20020917X03688,LAX82FA290,1982-08-04,"PALO VERDE, AZ",United States,Fatal(2),Destroyed,Beech,95-B55,2.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,VMC,Probable Cause,Beech,1982
2243,20020917X03866,MKC82DA157,1982-08-04,"GARDEN CITY, KS",United States,Non-Fatal,Substantial,Cessna,T337C,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2254,20020917X03240,DEN82IA154,1982-08-05,"DENVER, CO",United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,102.0,VMC,Probable Cause,Boeing,1982
2257,20020917X03173,DEN82DA153,1982-08-05,"BILLINGS, MT",United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
2269,20020917X03392,FTW82DA318,1982-08-06,"CONWAY, AR",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
2302,20020917X04027,NYC82FA188,1982-08-09,"DANBURY, CT",United States,Fatal(1),Destroyed,Cessna,310R,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
2309,20020917X03179,DEN82DA160,1982-08-09,"BOUNTIFUL, UT",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2324,20020917X03602,LAX82DA293,1982-08-10,"PAYSON, AZ",United States,Non-Fatal,Substantial,Beech,E55,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Probable Cause,Beech,1982
2335,20020917X03898,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,0.0,33.0,0.0,IMC,Probable Cause,Boeing,1982
2342,20020917X03440,FTW82DRG40,1982-08-12,"CORPUS CHRISTI, TX",United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
2344,20020917X03400,FTW82DA326,1982-08-12,"GLADEWATER, TX",United States,Non-Fatal,Substantial,Cessna,337D,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2350,20020917X02808,ATL82DA235,1982-08-12,"BIRMINGHAM, AL",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,Probable Cause,Beech,1982
2353,20020917X04048,NYC82FHD18,1982-08-13,"LAKEWOOD, NJ",United States,Non-Fatal,Destroyed,Beech,E18S,2.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,Probable Cause,Beech,1982
2385,20020917X03609,LAX82DA302,1982-08-15,"OAKLAND, CA",United States,Non-Fatal,Substantial,Beech,58TC,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2394,20020917X03513,FTW82IA331,1982-08-16,"EL PASO, TX",United States,Incident,Minor,Cessna,421B,2.0,Turbo Prop,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,Cessna,1982
2405,20020917X02694,ANC82DAG41,1982-08-16,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,Cessna,336,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
2418,20020917X03185,DEN82DA166,1982-08-17,"MEEKER, CO",United States,Non-Fatal,Substantial,Beech,60,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2456,20020917X03729,LAX82IA309,1982-08-21,"HONOLULU, HI",United States,Incident,Minor,Mcdonnell Douglas,DC-10-30F,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,393.0,VMC,Probable Cause,Mcdonnell Douglas,1982
2502,20020917X03417,FTW82DA344,1982-08-23,"SILVER CITY, NM",United States,Non-Fatal,Substantial,Cessna,401A,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
2514,20020917X03209,DEN82FA175,1982-08-25,"DEL NORTE, CO",United States,Non-Fatal,Substantial,Convair,340,2.0,Reciprocating,Ferry,0.0,2.0,0.0,0.0,IMC,Probable Cause,Convair,1982
2518,20020917X04005,NYC82DA209,1982-08-25,"SARATOGA SPRING, NY",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Probable Cause,Cessna,1982
2561,20020917X03878,MKC82FA160,1982-08-29,"COUNCIL BLUFFS, IA",United States,Fatal(2),Destroyed,Cessna,T310R,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,UNK,Probable Cause,Cessna,1982
2562,20020917X03087,CHI82FA329,1982-08-29,"NEAR WOODRUFF, WI",United States,Fatal(1),Destroyed,Cessna,310Q,2.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
2570,20020917X02821,ATL82DA250,1982-08-29,"BRUNSWICK, GA",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
2586,20020917X03038,CHI82DA316,1982-08-30,"CHICAGO, IL",United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2597,20020917X04585,FTW82DA361B,1982-09-01,"PLAINVIEW, TX",United States,Non-Fatal,Minor,Beech,95-C55,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
2618,20020917X04954,MKC82DA164,1982-09-02,"GOODLAND, KS",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2625,20020917X04214,ANC82FAA14,1982-09-02,"FAIRBANKS, AK",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1982
2633,20020917X04735,LAX82DA333,1982-09-03,"FRESNO, CA",United States,Non-Fatal,Substantial,Beech,95-A55,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2648,20020917X04396,CHI82DA343,1982-09-04,"WHEELING, IL",United States,Non-Fatal,Substantial,Cessna,310A,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
2684,20020917X04971,MKC82IA169,1982-09-07,"ST. LOUIS, MO",United States,Incident,Minor,Cessna,421C,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Probable Cause,Cessna,1982
2724,20020917X04597,FTW82DA373,1982-09-10,"TOMBALL, TX",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1982
2744,20020917X04506,DEN82DA190,1982-09-12,"WENDOVER, UT",United States,Non-Fatal,Substantial,Cessna,310P,2.0,Reciprocating,Personal,0.0,0.0,2.0,4.0,IMC,Probable Cause,Cessna,1982
2763,20020917X04764,LAX82FA344,1982-09-14,"GRAND CANYON, AZ",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Unknown,0.0,1.0,6.0,3.0,VMC,Probable Cause,Cessna,1982
2789,20020917X04765,LAX82FA345A,1982-09-17,"HUNTINGTON BEAC, CA",United States,Fatal(2),Substantial,Beech,200,2.0,Turbo Prop,Personal,2.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2792,20020917X04405,CHI82DA355,1982-09-17,"INDIANAPOLIS, IN",United States,Non-Fatal,Substantial,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
2827,20020917X04608,FTW82DA385,1982-09-20,"CRYSTAL CITY, TX",United States,Non-Fatal,Substantial,Cessna,501SP,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1982
2863,20020917X04630,FTW82FPM17,1982-09-24,"AFTON, OK",United States,Fatal(1),Destroyed,Cessna,421B,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
2865,20020917X04584,FTW82AA391,1982-09-24,"MIDLAND, TX",United States,Fatal(1),Destroyed,Beech,58P,2.0,Reciprocating,Public Aircraft,1.0,4.0,0.0,0.0,VMC,Probable Cause,Beech,1982
2867,20020917X04965,MKC82FA174,1982-09-24,"SABETHA, KS",United States,Non-Fatal,Substantial,Cessna,421A,2.0,Reciprocating,Public Aircraft,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
2875,20020917X04421,CHI82FA366,1982-09-25,"SUGARGROVE, IL",United States,Fatal(1),Destroyed,Cessna,340A,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
2914,20020917X04755,LAX82DA363,1982-09-29,"BIG SUR, CA",United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
2948,20020917X04802,LAX83FJA01,1982-10-03,"WAIMANALO, HI",United States,Fatal(3),Destroyed,Beech,C-45G,2.0,Reciprocating,Instructional,3.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
2949,20020917X04781,LAX83FA003,1982-10-03,"FLAGSTAFF, AZ",United States,Fatal(5),Destroyed,Beech,95-55,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
2976,20020917X04443,CHI83LA006,1982-10-04,"BLUFFTON, OH",United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Probable Cause,Beech,1982
3006,20020917X04293,ATL83FA009,1982-10-08,"ALLENDALE, SC",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
3030,20020917X04924,MIA83LA011,1982-10-11,"SARASOTA, FL",United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
3032,20020917X04684,FTW83LA014,1982-10-11,"SAN ANTONIO, TX",United States,Non-Fatal,Substantial,Cessna,414A,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
3039,20020917X05150,SEA83LA007,1982-10-13,"BELLEVUE, WA",United States,Non-Fatal,Substantial,Cessna,340,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
3064,20020917X04348,ATL83LA010,1982-10-16,"CAMDEN, SC",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
3066,20020917X04782,LAX83FA012,1982-10-17,"TAFT, CA",United States,Fatal(14),Destroyed,Beech,C-45H,2.0,Reciprocating,Skydiving,14.0,,,,VMC,Probable Cause,Beech,1982
3076,20020917X04495,DCA83IA002,1982-10-18,"HOUSTON, TX",United States,Incident,Minor,Douglas,DC-9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,VMC,Probable Cause,Douglas,1982
3077,20020917X04297,ATL83FA021,1982-10-18,"KOSCIUSKO, MS",United States,Fatal(3),Destroyed,Lockheed,18,2.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,UNK,Probable Cause,Lockheed,1982
3083,20020917X04665,FTW83FRG01,1982-10-19,"ROUND ROCK, TX",United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
3105,20020917X04532,DEN83FA010,1982-10-23,"KEMMERER, WY",United States,Fatal(2),Destroyed,Cessna,320E,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
3114,20020917X04690,FTW83LA021,1982-10-24,"BASTROP, LA",United States,Non-Fatal,Destroyed,Cessna,310C,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Probable Cause,Cessna,1982
3119,20020917X04808,LAX83FUG04,1982-10-24,"UPLAND, CA",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
3134,20020917X04634,FTW83AA024B,1982-10-27,"CARROLLTON, TX",United States,Fatal(4),Destroyed,Cessna,337G,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
3141,20020917X04335,ATL83IA018,1982-10-28,"CLARKSVILLE, TN",United States,Incident,Minor,Beech,B99,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
3173,20020917X04355,ATL83LA022,1982-11-01,"WINSTON-SALEM, NC",United States,Non-Fatal,Substantial,Beech,B90,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
3174,20020917X05056,NYC83FA016,1982-11-01,"MEADVILLE, PA",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
3187,20020917X04232,ANC83LA011,1982-11-03,"QUINHAGAK, AK",United States,Non-Fatal,Substantial,Beech,50,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
3202,20020917X04299,ATL83FA025A,1982-11-06,"ELIZABETH CITY, NC",United States,Non-Fatal,Minor,Gates Learjet,25,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,Learjet,1982
3214,20020917X04299,ATL83FA025B,1982-11-06,"ELIZABETH CITY, NC",United States,Non-Fatal,Substantial,Gates Learjet,24D,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,Learjet,1982
3222,20020917X04533,DEN83FA012,1982-11-07,"BROOMFIELD, CO",United States,Fatal(1),Substantial,Cessna,310H,2.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
3232,20020917X04464,CHI83LA033,1982-11-08,"EVANSVILLE, IN",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
3233,20020917X04785,LAX83FA030,1982-11-09,"SCOTTSDALE, AZ",United States,Fatal(1),Destroyed,Cessna,T337D,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
3239,20020917X04336,ATL83IA028,1982-11-10,"GREENBORO, NC",United States,Incident,Minor,Convair,340,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Probable Cause,Convair,1982
3240,20020917X05093,NYC83LA027,1982-11-10,"DANIELSON, CT",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
3256,20020917X04973,MKC83FA019,1982-11-12,"WICHITA, KS",United States,Non-Fatal,Substantial,Cessna,501,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
3260,20020917X04300,ATL83FA033,1982-11-13,"PLYMOUTH, NC",United States,Non-Fatal,Destroyed,Cessna,411A,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
3276,20020917X04338,ATL83IA034,1982-11-16,"HUNTSVILLE, AL",United States,Incident,Minor,Beech,G18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
3281,20020917X04703,FTW83LA037,1982-11-16,"HOUSTON, TX",United States,Non-Fatal,Substantial,Beech,60,2.0,Reciprocating,Personal,0.0,0.0,2.0,2.0,IMC,Probable Cause,Beech,1982
3292,20020917X04492,DCA83AA005,1982-11-18,"MOUNTAIN VIEW, MO",United States,Fatal(3),Destroyed,Cessna,551,2.0,Turbo Fan,Business,3.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
3296,20020917X04534,DEN83FA021,1982-11-18,"DENVER, CO",United States,Non-Fatal,Substantial,Mcdonald Douglas,DC-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,136.0,VMC,Probable Cause,Douglas,1982
3305,20020917X04366,ATL83LA048,1982-11-19,"FULTON, KY",United States,Non-Fatal,Substantial,Cessna,T-337C,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
3335,20020917X04669,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",United States,Incident,Minor,Boeing,727-223,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,23.0,IMC,Probable Cause,Boeing,1982
3344,20020917X04307,ATL83FA046,1982-11-23,"CULLMAN, AL",United States,Fatal(2),Destroyed,Beech,95-B55,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
3374,20020917X04910,MIA83FA036,1982-11-27,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,707-323C,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,116.0,VMC,Probable Cause,Boeing,1982
